grade,hs.college,sex,gpa,exercise,job,rigorous,welcome,school.spirit,different.hs,teachers.accepting,intensity,self.perception,world.perception,recommend,prepared,hum.math,aa,transfer,studying.24,essay.time,hw,start.hw,home.size,household.size,study.home,study.school,hrs.sleep,makeup,outfit,shower,time.morning,commute,first.stress,first.period,hrs.socializing,hrs.social.media,hrs.fb,hrs.instagram,hrs.snapchat,platform,last.fb,last.instagram,last.snapchat,more.followers,hrs.parents,ninth.lunch,tenth.lunch,ninth.responsible,ninth.y2,no.hats,no.hats.feeling,hat.removed,hat.confiscated,target.bullying,friends.bullied,you.bully,teacher.bully,teacher.response,student.response,safety,environmentalist,self.confidence,physical.positive,confidence.interferes,accepted.you,attractive.a,attractive.b,sex.heartbroken,sex.angry,love.heartbroken,love.angry,marijuana,drinking.age.appropriate,ok.underage,random.drug.tests,small.marijuana,glue,drug.use,breakfast.home,breakfast.school,money.food,allowance,hunger,school.lunch,bring.lunch,buy.food,school.lunch.rating,school.lunch.healthy,veg,veg.knowledge,veg.friends,veg.consider
1-9th grade,High school,Male,3.2,5,0,Yes,7,Yes,Yes,Yes,Yes,6,7,5,3,3,No,Yes,2,5,120,Before 8:30 pm,3,5,3,3,9,No,No,Yes,30,50,Yes,Yes,5,5,7,3,4,Facebook,Past month,Past month,Past week,No,2,Yes,Yes,8,9th Grade,Yes,3,Yes,No,No,Yes,No,No,Yes,Yes,4,5,7,6,Yes,Yes,4,2,7,3,3,7,No,Yes,Yes,No,No,No,2,No,Yes,20,30,5,No,Yes,3,2,3,No,5,No,1
1-9th grade,High school,Male,3.1,12,,Yes,10,Yes,No,Yes,Yes,6,9,10,8,7,No,Yes,6,12,130,Before 8:30 pm,3,4,4,1,8,No,Yes,Yes,60,70,No,Yes,14,10,0,5,0,Instagram,More than a month ago / never,Past week,More than a month ago / never,No,8,Yes,Yes,8,Year 2,Yes,6,Yes,No,No,No,No,No,No,Yes,5,8,10,8,Yes,Yes,8,8,7,5,5,5,Yes,Yes,No,No,No,No,5,No,Yes,20,40,5,No,Yes,3,4,6,No,9,Yes,7
1-9th grade,High school,Male,4,8,0,Yes,9,No,No,Yes,Yes,7,9,9,10,3,Yes,Yes,0,4,240,Before 8:30 pm,2,3,3,1,7.5,No,No,Yes,60,35,No,Yes,7,0,0,0,0,NA,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,4,No,Yes,4,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,6,10,9,No,Yes,5,5,5,5,5,5,No,No,Yes,Yes,Yes,No,5,Yes,No,0,0,5,No,No,0,5,5,No,9,Yes,1
1-9th grade,High school,Male,3,10,0,Yes,10,Yes,No,Yes,No,1,10,10,8,1,No,Yes,3,5,120,Before 8:30 pm,2,2,1,1,8,No,No,Yes,NA,50,No,Yes,15,15,2,2,4,NA,Past month,Past 24 hours,Past 24 hours,No,3,Yes,Yes,5,Year 2,Yes,5,No,No,No,Yes,Yes,Yes,No,No,5,6,10,8,No,Yes,1,1,5,8,8,5,Yes,Yes,Yes,No,No,No,10,Yes,No,40,-10,5,No,No,5,1,1,No,5,Yes,1
1-9th grade,High school,Female,3.8,3,0,Yes,9,Yes,Yes,Yes,Yes,9,10,10,4,2,No,Yes,3,3,90,After 8:30 pm,4,5,1.5,0.5,6,No,No,Yes,150,90,No,Yes,5,1,1,0,0,Facebook,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,2,Yes,Yes,9,Year 2,No,2,No,No,No,No,No,No,Yes,No,4,5,8,8,No,Yes,4,2,10,7,10,8,No,Yes,No,Yes,No,No,1,Yes,No,0,0,3,Yes,No,1,6,3,No,4,Yes,1
1-9th grade,High school,Female,3.7,1,4,No,8,Yes,No,Yes,Yes,8,9,10,6,6,No,Yes,2,5,360,After 8:30 pm,7,12,6,1,5,No,No,No,25,20,Yes,Yes,5,3,1,0.5,1.5,Snapchat,More than a month ago / never,Past month,Past 24 hours,No,2,No,Yes,2,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,3,6,5,Yes,Yes,9,8,6,10,9,4,No,Yes,Yes,Yes,No,No,3,No,No,5,0,1,No,Yes,1,8,4,No,5,Yes,7
1-9th grade,High school,Male,3.8,7,0,Yes,9,No,Yes,Yes,Yes,3,5,8,9,4,No,No,1,3,180,Before 8:30 pm,4,4,3,0,7,No,No,Yes,25,55,No,Yes,3,1,0,1,0,Instagram,More than a month ago / never,Past week,More than a month ago / never,No,5,Yes,Yes,8,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,Yes,4,5,9,9,No,Yes,3,4,6,8,7,6,No,No,Yes,Yes,Yes,No,3,Yes,No,0,20,3,No,Yes,1,2,6,No,7,Yes,1
1-9th grade,High school,Male,3,2,0,Yes,9,Yes,No,Yes,Yes,7,7,10,8,8,No,Yes,4,4,90,After 8:30 pm,3,2,1,1,6,No,No,No,90,55,No,Yes,2,2,0.5,0.5,0.5,Instagram,More than a month ago / never,Past week,More than a month ago / never,Yes,0.5,No,Yes,7,Year 2,Yes,5,No,No,No,No,Yes,No,Yes,Yes,5,5,2,5,No,Yes,7,4,8,4,8,8,Yes,Yes,Yes,No,No,No,5,Yes,No,NA,0,7,No,Yes,0,4,6,No,9,Yes,3
1-9th grade,High school,Male,3.5,2,2,Yes,8,Yes,Yes,No,Yes,8,7,9,7,1,No,Yes,5,5,240,Before 8:30 pm,2,4,4,NA,8,No,No,No,15,14,No,Yes,3,4,,2,,Instagram,NA,Past week,Past week,No,2,Yes,Yes,3,Year 2,Yes,4,Yes,No,No,No,No,No,Yes,No,5,7,8,8,Yes,Yes,1,1,4,4,3,2,No,Yes,Yes,Yes,No,No,1,Yes,No,0,,5,No,Yes,1,5,5,No,7,Yes,1
1-9th grade,High school,Female,3,1,2,Yes,8,Yes,No,Yes,Yes,6,8,9,5,5,No,Yes,2,4,180,Before 8:30 pm,2,7,3,1,7,No,Yes,No,120,30,No,No,1,10,7,0,0,Facebook,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,1,Yes,Yes,6,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,4,7,6,5,Yes,Yes,6,7,10,10,10,9,Yes,No,No,Yes,No,No,7,Yes,No,0,0,6,Yes,No,0,5,5,No,7,No,6
1-9th grade,High school,Female,NA,NA,NA,Yes,9,Yes,Yes,Yes,Yes,6,8,8,,7,No,Yes,NA,NA,300,Before 8:30 pm,4,4,4,1,6,No,No,Yes,60,90,No,Yes,NA,15,5,1,5,Snapchat,Past week,Past month,Past 24 hours,Yes,5,Yes,NA,6,Year 2,Yes,5,No,No,No,No,No,No,Yes,No,5,6,7,8,No,Yes,7,8,9,10,10,8,Yes,Yes,No,No,No,No,5,No,Yes,20,20,5,No,No,5,4,6,No,4,No,4
1-9th grade,High school,Female,NA,NA,NA,Yes,9,Yes,Yes,Yes,Yes,6,8,8,,7,No,Yes,NA,NA,300,Before 8:30 pm,4,4,4,1,6,No,No,Yes,60,90,No,Yes,NA,15,5,1,5,Snapchat,Past week,Past month,Past 24 hours,Yes,5,Yes,NA,6,Year 2,Yes,5,No,No,No,No,No,No,Yes,No,5,6,7,8,No,Yes,7,8,9,10,10,8,Yes,Yes,No,No,No,No,5,No,Yes,20,20,5,No,No,5,4,6,No,4,No,4
1-9th grade,High school,Male,NA,2,50,No,7,No,No,Yes,No,7,7,10,10,10,No,Yes,NA,5,30,After 8:30 pm,2,5,,1,3,Yes,No,Yes,100,200,No,No,10,19,19,0,19,NA,Past month,Past 24 hours,Past 24 hours,No,24,No,No,1,Year 2,Yes,1,No,No,Yes,Yes,No,Yes,Yes,No,3,7,10,10,No,Yes,8,5,7,9,7,8,Yes,No,No,No,No,Yes,10,Yes,Yes,10,70,10,No,No,7,1,1,No,1,No,2
