name,control,location,in.state,out.of.state,percent.admitted,admission.yield,tests.required,sat.cr.Q1,sat.math.Q1,finaid,enrollment.undergrad,white,women,enrollment.total,grad.rate.4,grad.rate.6
Stony Brook University,Public,Urban,22127,34067,39,23,Required,550,600,80,15837,40,49,23946,47,70
CUNY Hunter College,Public,Urban,20181,26691,30,22,Required,520,540,69,16708,41,69,23005,19,46
SUNY at Albany,Public,Urban,22419,32739,55,22,Required,490,520,80,12878,58,51,17312,53,64
SUNY at Binghamton,Public,Urban,22832,33152,43,22,Required,590,630,66,12356,51,47,15308,68,79
CUNY Queens College,Public,Urban,26179,32689,37,21,Required,480,540,65,16187,44,60,20100,26,55
CUNY City College,Public,Urban,26631,33141,34,18,Required,460,530,76,12983,20,53,16023,7,42
Fordham University,Private,Urban,63438,63438,47,12,Required,570,590,90,8325,57,57,15170,77,81
CUNY Bernard M Baruch College,Public,Urban,27562,34072,25,24,Required,530,600,71,13777,33,49,17373,33,63
New York University,Private,Urban,63540,63540,26,35,Required,620,630,61,22498,40,58,44516,79,85
CUNY Brooklyn College,Public,Urban,24906,31416,32,18,Required,480,520,75,13099,42,61,16524,27,54
Pace University-New York,Private,Urban,56999,56999,77,19,Required,470,470,99,8336,47,60,12772,39,56
SUNY College at Geneseo,Public,Rural,21672,31122,46,24,Required,580,600,60,5388,75,58,5557,67,79
SUNY College at Potsdam,Public,Rural,21109,30559,68,25,Not required,NA,NA,89,3868,76,59,4224,32,51
State University of New York at New Paltz,Public,Urban,21403,30853,44,20,Required,510,520,75,6573,66,63,7655,52,73
University of Massachusetts-Amherst,Public,Urban,26282,40998,63,21,Required,540,570,89,21928,65,49,28236,54,70
Buffalo State SUNY,Public,Urban,21493,30853,49,24,Required,440,450,89,9747,65,59,11781,23,48
Bard College,Private,Rural,62572,62572,38,24,Not required,,,68,2022,56,58,2342,67,79
Boston University,Private,Urban,61446,61446,46,19,Required,570,610,60,18306,48,58,32603,79,84
Columbia University in the City of New York,Private,Urban,64144,64144,7,60,Required,690,700,58,7814,37,51,26471,88,95
Adelphi University,Private,Urban,47110,47110,68,16,Required,500,520,96,5103,53,73,7859,54,66
American University,Private,Urban,56808,56808,43,22,Required,590,570,84,7299,51,60,12904,73,77
Arizona State University-Tempe,Public,Urban,23837,37630,80,41,Not required,500,520,89,59382,59,50,73378,33,57
Barnard College,Private,Urban,61512,61512,21,50,Required,620,620,57,2504,61,100,2504,84,90
Bennington College,Private,Rural,61920,61920,65,19,Not required,NA,NA,97,688,77,67,826,59,64
Boston College,Private,Urban,60706,60706,32,28,Required,620,650,58,9837,58,55,14605,89,92
Brandeis University,Private,Urban,61070,61070,37,24,Required,600,630,66,3588,44,54,5808,86,90
University of Bridgeport,Private,Urban,50043,50043,64,16,Required,410,420,98,2688,35,63,4877,23,32
Brown University,Private,Urban,60460,60460,9,58,Required,660,670,61,6435,44,52,8885,83,95
University of California-San Diego,Public,Urban,30470,53348,38,20,Required,550,620,75,22676,27,48,28294,57,86
Carleton College,Private,Rural,60425,60425,21,36,Required,660,680,79,2055,67,53,2055,91,94
University of Chicago,Private,Urban,64988,64988,9,53,Required,720,720,68,5618,45,42,15245,86,92
University of Colorado Boulder,Public,Urban,28887,50655,88,30,Required,520,540,59,25941,73,45,31945,42,68
Colorado College,Private,Urban,57400,57400,22,41,Not required,610,610,57,2004,73,55,2022,83,90
University of Connecticut,Public,Urban,27244,46192,54,25,Required,550,580,79,17528,61,50,25483,67,82
Cooper Union for the Advancement of Science and Art,Private,Urban,60075,60075,8,75,Required,610,610,100,880,36,36,939,63,81
DePauw University,Private,Rural,53290,53290,61,21,Required,520,550,97,2336,69,55,2336,74,78
The Evergreen State College,Public,Urban,22641,34728,97,33,Required,500,450,84,4193,68,54,4509,39,54
Fashion Institute of Technology,Public,Urban,21773,30623,45,62,Not required,NA,NA,69,9848,47,84,10052,NA,NA
Grinnell College,Private,Rural,56354,56354,35,30,Required,620,630,88,1674,57,54,1674,86,90
University of Hartford,Private,Urban,48170,48170,62,14,Required,470,480,99,5284,61,53,6894,40,52
Ithaca College,Private,Urban,55587,55587,67,17,Not required,NA,NA,93,6281,70,57,6759,70,77
CUNY John Jay College of Criminal Justice,Public,Urban,30885,37395,34,41,Required,420,440,76,13167,26,57,14996,21,43
University of Michigan-Ann Arbor,Public,Urban,26240,53490,33,40,Required,620,660,65,27979,59,48,43426,76,91
Middlebury College,Private,Rural,59470,59470,17,39,Required,630,640,43,2516,67,51,2516,88,94
Morehouse College,Private,Urban,47345,47345,67,27,Required,450,450,97,2374,0,0,2374,39,55
University of North Carolina at Chapel Hill,Public,Urban,24024,45806,28,50,Required,590,610,69,18503,64,58,29278,76,89
Northeastern University,Private,Urban,58096,58096,32,19,Required,640,660,77,16640,45,51,27694,0,79
Northwestern University,Private,Urban,63193,63193,15,41,Required,690,700,64,9376,51,48,21215,86,93
Oberlin College,Private,Rural,62132,62132,30,35,Required,650,620,88,2930,71,55,2944,71,85
Ohio State University-Main Campus,Public,Urban,25479,41199,56,41,Required,540,610,85,43058,71,49,56387,53,82
Pennsylvania State University-Main Campus,Public,Urban,33592,46166,54,30,Required,530,560,67,39192,70,46,45783,65,86
Polytechnic Institute of New York University,Private,Urban,59570,59570,75,17,Required,550,640,98,2071,21,24,4652,41,62
Princeton University,Private,Urban,55832,55832,7,65,Required,700,710,60,5327,46,45,7975,88,96
SUNY at Purchase College,Public,Urban,24672,34122,33,28,Required,500,480,83,4128,53,55,4240,48,59
Rice University,Private,Urban,54291,54291,17,38,Required,670,700,75,3848,40,44,6484,84,92
University of Rochester,Private,Urban,61340,61340,36,24,Not required,600,650,90,5785,51,51,10510,74,85
Tulane University of Louisiana,Private,Urban,61178,61178,26,20,Required,620,620,80,8357,66,56,12958,62,75
Vassar College,Private,Urban,61320,61320,24,36,Required,660,650,74,2406,62,56,2406,80,91
University of Vermont,Public,Urban,28886,49814,78,14,Required,540,540,89,11211,82,56,13098,65,76
Virginia State University,Public,Urban,20767,30175,95,23,Required,370,360,92,5570,4,61,6208,25,44
University of Wisconsin-Madison,Public,Urban,23931,40181,68,40,Required,530,630,71,30301,73,51,42269,53,82
