commute,handedness,soda,marriage
25,Right,Coke,30
45,Right,Coke,28
30,Right,Pepsi,26
100,Right,Coke,25
70,Right,Pepsi,29
40,Right,Coke,25
30,Right,Pepsi,32
40,Right,Coke,27
90,Right,Pepsi,29
40,Right,Coke,33
30,Right,Pepsi,27
20,Right,Pepsi,30
45,Right,Pepsi,29
60,Left,Coke,28
30,Left,Coke,25
50,Left,Pepsi,27
45,Right,Pepsi,30
60,Right,Coke,30
30,Right,Coke,28
30,Right,Pepsi,29
90,Right,Coke,23
60,Right,Pepsi,23
20,Right,Coke,25
30,Left,Coke,27
80,Right,Coke,22
35,Right,Coke,28
40,Right,Pepsi,27
40,Left,Coke,30
80,Right,Pepsi,27
40,Right,Coke,26
50,Right,Coke,30
90,Right,Pepsi,25
15,Right,Pepsi,28
45,Right,Coke,24
40,Right,Coke,26
60,Right,Pepsi,26
35,Right,Pepsi,27
35,Right,Pepsi,28
