year,hrs.fb,hrs.exercise,soph.lunch,gender
Year 2,0,3,No,Female
Year 1,2,1,Yes,Male
Year 2,4,3,Yes,Female
Year 2,2,2,Yes,Male
Year 2,2,1,No,Male
Year 2,6,6,No,Male
Year 2,5,3,Yes,Female
Year 1,7,4,Yes,Female
Year 2,1,8,No,Female
Year 1,NA,3,Yes,Female
Year 2,14,2,No,Male
Year 1,0,1,No,Female
Year 2,5,2,No,Female
Year 2,5,3,Yes,Male
Year 2,17,2,No,Female
Year 2,7,3,No,Female
Year 2,5,5,No,Female
Year 1,5,1,No,Female
Year 2,7,5,No,Female
Year 2,NA,11,No,Male
Year 2,13,3,No,Female
Year 2,7,10,No,Male
Year 2,8,4,No,Female
Year 2,20,7,Yes,Female
Year 2,2,10,No,Female
Year 2,2,15,No,Male
Year 2,10,1,No,Male
Year 2,NA,4,Yes,Female
Year 1,3,4,Yes,Female
Year 2,10,9,No,Female
Year 2,3,12,No,Male
Year 2,10,6,No,Female
Year 2,20,9,Yes,Male
Year 2,0,5,Yes,Female
Year 1,16,3,No,Male
Year 2,0,4,No,Male
Year 2,10,1,No,Male
