Gender,ClassYear,GPA,ClassesMissed,CognitionZscore,AnxietyScore,StressScore,AnxietyStatus,Stress,Happiness,AlcoholUse,Drinks,WeekdayBed,WeekdaySleep,WeekendSleep,AverageSleep,AllNighter
Female,4,3.6,0,-0.26,3,8,normal,normal,28,Moderate,10,25.75,7.7,5.88,7.18,No
Female,4,3.24,0,1.39,0,3,normal,normal,25,Moderate,6,25.7,6.8,7.25,6.93,No
Female,4,2.97,12,0.38,18,9,severe,normal,17,Light,3,27.44,3,10.09,5.02,No
Female,1,3.76,0,1.39,4,6,normal,normal,32,Light,2,23.5,6.77,7.25,6.9,No
Female,4,3.2,4,1.22,25,14,severe,normal,15,Moderate,4,25.9,6.09,7,6.35,No
Male,4,3.5,0,-0.04,8,28,moderate,high,22,Abstain,0,23.8,9.05,9,9.04,No
Male,2,3.35,2,0.41,0,1,normal,normal,25,Moderate,6,25.35,7.73,7,7.52,Yes
Female,2,3,0,-0.59,2,3,normal,normal,29,Light,3,23.9,9.02,9,9.01,No
Female,1,4,0,1.03,16,20,severe,high,29,Light,3,24.4,8.25,9.25,8.54,No
Female,4,2.9,0,0.72,11,31,moderate,high,30,Moderate,6,26.2,6.6,6.88,6.68,No
Male,2,3.7,0,0.06,12,13,moderate,normal,14,Moderate,10,25,8.23,7.75,8.09,No
Male,2,3,0,-0.47,8,11,moderate,normal,24,Moderate,10,25.3,8.4,8.5,8.43,No
Female,1,3.3,0,-0.14,13,18,moderate,high,21,Moderate,4,25.92,6.34,8.25,6.89,No
Male,3,3.3,6,0.04,3,2,normal,normal,20,Light,5,25.6,7.03,8.5,7.45,No
Female,3,3.5,1,-0.4,0,3,normal,normal,28,Abstain,0,22.9,8.4,10.25,8.93,No
Female,3,3.4,0,0.4,1,11,normal,normal,23,Light,2,24,8.67,9.5,8.9,No
Female,2,2.8,5,-0.8,7,21,normal,high,25,Moderate,4,22.9,8.25,8.59,8.34,No
Male,2,3,0,-1.18,12,20,moderate,high,24,Heavy,12,24,8.5,7.5,8.22,No
Male,2,2.8,0,-0.4,4,1,normal,normal,30,Moderate,10,25.77,8.55,8,8.39,Yes
